time(us), stanley, env, control
414675814, 3.937500, 23.500000, 4.250000
417545814, 3.937500, 23.500000, 4.250000
420415814, 3.937500, 23.562500, 4.250000
423285814, 3.875000, 23.562500, 4.187500
426155814, 3.875000, 23.562500, 4.187500
429025814, 3.812500, 23.500000, 4.187500
431895814, 3.812500, 23.500000, 4.125000
434765814, 3.812500, 23.500000, 4.125000
437635814, 3.750000, 23.500000, 4.125000
440505814, 3.750000, 23.500000, 4.125000
443375814, 3.687500, 23.500000, 4.062500
446245814, 3.625000, 23.500000, 4.062500
449115814, 3.625000, 23.500000, 4.062500
451985814, 3.562500, 23.500000, 4.062500
454855814, 3.562500, 23.500000, 4.000000
457725814, 3.562500, 23.500000, 4.000000
460595814, 3.500000, 23.500000, 4.000000
463465814, 3.500000, 23.500000, 4.000000
466335814, 3.500000, 23.500000, 3.937500
469205814, 3.437500, 23.500000, 3.937500
472075814, 3.375000, 23.500000, 3.937500
474945814, 3.375000, 23.500000, 3.937500
477815814, 3.312500, 23.500000, 3.937500
480685814, 3.312500, 23.500000, 3.937500
483555814, 3.312500, 23.500000, 3.875000
486425814, 3.312500, 23.437500, 3.875000
489295814, 3.187500, 23.437500, 3.875000
492165814, 3.187500, 23.437500, 3.875000
495035814, 3.187500, 23.437500, 3.812500
497905814, 3.125000, 23.437500, 3.812500
500775814, 3.125000, 23.437500, 3.812500
503645814, 3.062500, 23.437500, 3.812500
506515814, 3.062500, 23.375000, 3.750000
509385814, 3.062500, 23.375000, 3.750000
512255814, 3.000000, 23.437500, 3.750000
515125814, 3.000000, 23.437500, 3.750000
517995814, 2.937500, 23.437500, 3.750000
520865814, 2.937500, 23.437500, 3.750000
523735814, 2.875000, 23.437500, 3.750000
526605814, 2.875000, 23.437500, 3.687500
529475814, 2.812500, 23.500000, 3.687500
532345814, 2.812500, 23.500000, 3.687500
535215814, 2.750000, 23.500000, 3.687500
538085814, 2.750000, 23.500000, 3.687500
540955814, 2.750000, 23.500000, 3.687500
543825814, 2.687500, 23.500000, 3.625000
546695814, 2.687500, 23.500000, 3.687500
549565814, 2.687500, 23.500000, 3.625000
552435814, 2.687500, 23.437500, 3.625000
555305814, 2.625000, 23.437500, 3.625000
558175814, 2.625000, 23.437500, 3.625000
561045814, 2.562500, 23.437500, 3.625000
563915814, 2.562500, 23.437500, 3.625000
566785814, 2.562500, 23.437500, 3.625000
569655814, 2.500000, 23.437500, 3.625000
572525814, 2.500000, 23.437500, 3.625000
575395814, 2.437500, 23.437500, 3.562500
578265814, 2.437500, 23.437500, 3.562500
581135814, 2.437500, 23.375000, 3.562500
584005814, 2.375000, 23.375000, 3.562500
586875814, 2.375000, 23.312500, 3.562500
589745814, 2.375000, 23.312500, 3.562500
592615814, 2.312500, 23.312500, 3.562500
595485814, 2.312500, 23.312500, 3.562500
598355814, 2.312500, 23.312500, 3.562500
601225814, 2.312500, 23.375000, 3.562500
604095814, 2.250000, 23.375000, 3.562500
606965814, 2.250000, 23.375000, 3.562500
