time	stanley	env	control	diff_stanley	diff_control
1:28:36	0,8625	21,0156	6,0125	20,1531	15,0031
1:29:34	0,871875	20,9906	6,12812	20,1188	14,8625
1:30:31	0,865625	20,9781	6,26875	20,1125	14,7094
1:31:29	0,86875	20,9062	6,43438	20,0375	14,4719
1:32:26	0,865625	20,8594	6,57188	19,9937	14,2875
1:33:23	0,865625	20,9438	6,74375	20,0781	14,2
1:34:21	0,871875	20,9375	6,925	20,0656	14,0125
1:35:18	0,871875	20,9937	7,11562	20,1219	13,8781
1:36:16	0,86875	20,975	7,29063	20,1063	13,6844
1:37:13	0,871875	20,95	7,49375	20,0781	13,4562
1:38:10	0,875	20,9094	7,70312	20,0344	13,2063
1:39:08	0,875	20,9062	7,90625	20,0312	13
1:40:31	0,871875	20,9156	8,175	20,0437	12,7406
1:41:31	0,875	20,9375	8,43437	20,0625	12,5031
1:42:37	0,875	20,9406	8,66875	20,0656	12,2719
4:47:36	1,05	21,8344	15,3656	20,7844	6,46875
4:48:33	1,2625	22,75	21,3125	21,4875	1,4375
4:49:31	1,28125	22,75	21,3125	21,4688	1,4375
4:50:28	1,28125	22,7594	21,3125	21,4781	1,44687
4:51:26	1,28438	22,8	21,3469	21,5156	1,45312
4:52:24	1,275	22,8125	21,375	21,5375	1,4375
4:53:21	1,29375	22,7625	21,375	21,4688	1,3875
4:54:19	1,29375	22,7719	21,375	21,4781	1,39688
4:55:16	1,30625	22,8125	21,3938	21,5063	1,41875
4:56:14	1,3	22,8125	21,4375	21,5125	1,375
4:57:12	1,30937	22,8125	21,4375	21,5031	1,375
4:58:09	1,30937	22,8125	21,4375	21,5031	1,375
4:59:07	1,3125	22,8156	21,4375	21,5031	1,37813
5:00:04	1,3125	22,8719	21,4844	21,5594	1,3875
5:01:02	1,3125	22,8469	21,5	21,5344	1,34688
5:02:00	1,3125	22,8438	21,5	21,5312	1,34375
5:02:57	1,31563	22,8562	21,5	21,5406	1,35625
5:03:55	1,3125	22,875	21,5188	21,5625	1,35625
5:04:52	1,3125	22,875	21,5562	21,5625	1,31875
5:05:50	1,3125	22,8844	21,5625	21,5719	1,32187
5:06:48	1,3125	22,875	21,5625	21,5625	1,3125
5:07:45	1,32187	22,875	21,5656	21,5531	1,30937
5:08:43	1,33125	22,875	21,6062	21,5437	1,26875
5:09:40	1,3375	22,9031	21,625	21,5656	1,27812
5:10:38	1,34062	22,9375	21,625	21,5969	1,3125
5:11:36	1,34688	22,9375	21,625	21,5906	1,3125
5:12:33	1,3375	22,9375	21,6469	21,6	1,29062
5:13:31	1,34375	22,9375	21,675	21,5938	1,2625
5:14:28	1,3625	22,9375	21,6875	21,575	1,25
5:15:26	1,36875	22,9375	21,6875	21,5688	1,25
5:16:24	1,37187	22,9375	21,6875	21,5656	1,25
5:17:21	1,375	22,975	21,6938	21,6	1,28125
5:18:19	1,375	23	21,7437	21,625	1,25625
5:19:16	1,375	22,9688	21,75	21,5938	1,21875
5:20:14	1,375	22,9719	21,75	21,5969	1,22188
5:21:12	1,375	23	21,75	21,625	1,25
5:22:09	1,375	23	21,7531	21,625	1,24687
5:23:07	1,375	23,0094	21,8	21,6344	1,20937
5:24:04	1,375	23	21,8094	21,625	1,19063
5:25:02	1,37813	23	21,8125	21,6219	1,1875
5:26:00	1,38125	23	21,8125	21,6187	1,1875
5:26:57	1,37813	23	21,8125	21,6219	1,1875
5:27:55	1,4	23	21,8562	21,6	1,14375
5:28:52	1,40625	23	21,875	21,5938	1,125
5:29:50	1,39688	23	21,875	21,6031	1,125
5:30:48	1,41562	23,0219	21,875	21,6063	1,14688
5:31:45	1,42188	23,0625	21,875	21,6406	1,1875
5:32:43	1,42813	23,0437	21,8938	21,6156	1,15
5:33:40	1,43437	23,0031	21,9344	21,5688	1,06875
5:34:38	1,43125	23,0031	21,9375	21,5719	1,06563
5:35:36	1,43437	23,0031	21,9375	21,5688	1,06563
5:36:33	1,43125	23	21,9375	21,5688	1,0625
5:37:31	1,4375	23,0469	21,9406	21,6094	1,10625
5:38:28	1,4375	23,0625	21,9594	21,625	1,10312
5:39:26	1,4375	23,0781	22	21,6406	1,07812
5:40:24	1,4375	23,0625	22	21,625	1,0625
5:41:21	1,4375	23,0625	22	21,625	1,0625
5:42:19	1,4375	23,0625	22	21,625	1,0625
5:43:16	1,44375	23,0656	22,0063	21,6219	1,05937
5:44:14	1,45	23,0625	22,0281	21,6125	1,03438
5:45:12	1,44375	23,0844	22,0594	21,6406	1,025
5:46:09	1,44375	23,0906	22,0625	21,6469	1,02812
5:47:07	1,4625	23,1062	22,0625	21,6438	1,04375
5:48:04	1,45938	23,0625	22,0625	21,6031	1
5:49:02	1,45938	23,0625	22,0625	21,6031	1
5:50:00	1,47188	23,0625	22,0688	21,5906	0,99375
5:50:57	1,4875	23,0625	22,1156	21,575	0,946875
5:51:55	1,47812	23,0625	22,125	21,5844	0,9375
5:52:52	1,49687	23,0625	22,125	21,5656	0,9375
5:53:50	1,5	23,0625	22,125	21,5625	0,9375
5:54:48	1,49687	23,0625	22,125	21,5656	0,9375
5:55:45	1,5	23,0875	22,125	21,5875	0,9625
5:56:43	1,5	23,125	22,1406	21,625	0,984375
5:57:40	1,49687	23,125	22,175	21,6281	0,95
5:58:38	1,5	23,1219	22,1875	21,6219	0,934375
5:59:36	1,50625	23,125	22,1875	21,6187	0,9375
6:00:33	1,50937	23,125	22,1875	21,6156	0,9375
6:01:31	1,50625	23,125	22,1875	21,6187	0,9375
6:02:28	1,5125	23,125	22,1875	21,6125	0,9375
6:03:26	1,51562	23,0781	22,2031	21,5625	0,875
6:04:24	1,53125	23,0719	22,2375	21,5406	0,834375
6:05:21	1,52188	23,0625	22,2469	21,5406	0,815625
6:06:19	1,5375	23,0625	22,25	21,525	0,8125
6:07:16	1,53438	23,0625	22,25	21,5281	0,8125
6:08:14	1,55937	23,0625	22,25	21,5031	0,8125
6:09:12	1,55625	23,075	22,25	21,5188	0,825
6:10:09	1,5625	23,125	22,2594	21,5625	0,865625
6:11:07	1,55937	23,125	22,2875	21,5656	0,8375
